,Unnamed: 0,row,set,Start_Lat,Start_Lng,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Severity,Temperature(F),WindChill(F),Humidity(%),Pressure(in),Visibility(mi),WindSpeed(mph),Precipitation(in),Duration_hours,Rain_Event,Snow_Event,Fog_Event,Thunderstorm_Event,Hail_Event,Tornado_Event
32,32,255,0,0.6872165702535924,1.0803497093349543,-0.0372528862144256,-0.7066210688476964,-0.4326667739347779,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
33,33,255,0,0.6566861929656604,1.0813661003861013,-0.39448248787732,-0.7066210688476964,-0.6623946162169881,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
34,34,255,0,0.6669454351499333,1.079238744563119,-0.3342752521796235,-0.7066210688476964,-0.4326667739347779,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
35,35,255,0,0.6715292580385828,1.0783178584200652,0.1754794646102039,-0.7066210688476964,-0.2029389316525677,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,0.2491301700522985,0.0,0.0,0.0,0.0,0.0,0.0
36,36,255,0,0.6814293644297301,1.080712930621613,-0.6232700409466707,-0.7066210688476964,-0.6623946162169881,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.0779493347290487,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,-0.3414961801620809,0.0,0.0,0.0,0.0,0.0,0.0
37,37,255,0,0.6987873387726077,1.0831106799869472,-0.3382890647029086,-0.7066210688476964,-0.4326667739347779,1.3898404012085974,-1.4555799416646498,-1.3136494210474905,-1.210880886656743,-0.2206028388467066,1.2320719158544542,0.4565017600722513,-0.38929137935226,-0.1028233879668304,-0.4286838794794418,0.0,0.0,0.0,0.0,0.0,0.0
38,38,255,0,0.5267750994061927,1.0082933804502476,0.436377470017416,-0.7066210688476964,0.0267889106296424,0.1037740961307769,-1.4555799416646498,-1.6679041441212028,-1.2668008785681113,0.4976469715772629,1.2320719158544542,0.4565017600722513,-1.1891235000766027,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
39,39,255,0,0.5288472726663634,1.0096551838289567,0.6049576916922309,-0.7066210688476964,0.2565167529118527,0.1037740961307769,-0.1468592457865423,-1.6679041441212028,-1.2668008785681113,0.4976469715772629,1.2320719158544542,0.4565017600722513,-1.1891235000766027,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
40,40,255,0,0.662913642132295,1.079962975566351,0.1714655563900796,-0.7066210688476964,0.2565167529118527,1.3898404012085974,-0.1468592457865423,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,0.2491301700522985,0.0,0.0,0.0,0.0,0.0,0.0
41,41,255,0,0.6823152199365308,1.0830404917363925,0.2597695275991918,-0.7066210688476964,0.7159724374762731,1.3898404012085974,-0.1468592457865423,-1.3136494210474905,-1.210880886656743,-0.2206028388467066,1.2320719158544542,0.4565017600722513,-0.38929137935226,-0.1028233879668304,0.5852246883885759,0.0,0.0,0.0,0.0,0.0,0.0
42,42,255,0,0.7007548200183383,1.081398051753892,-0.4948278966562875,-0.7066210688476964,-0.4326667739347779,1.3898404012085974,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.0779493347290487,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
43,43,255,0,0.6576341734041053,1.0791255470943564,-0.0091561028545905,-0.1900736720172506,-0.2029389316525677,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.0779493347290487,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
44,44,255,0,0.6750293460085238,1.0873160387005147,-0.2339298912490757,-0.7066210688476964,-0.2029389316525677,1.3898404012085974,-1.4555799416646498,-1.3136494210474905,-1.210880886656743,-0.2206028388467066,1.2320719158544542,0.4565017600722513,-0.38929137935226,-0.1028233879668304,0.2449114104079099,0.0,0.0,0.0,0.0,0.0,0.0
45,45,255,0,0.6805509869239625,1.082486784426463,0.0430234599481162,-0.7066210688476964,-0.2029389316525677,0.1037740961307769,-1.4555799416646498,-1.3136494210474905,-1.210880886656743,-0.2206028388467066,1.214947184618295,0.4565017600722513,-0.1893333491711743,-0.1028233879668304,0.7483500613049285,0.0,0.0,0.0,0.0,0.0,0.0
46,46,255,0,0.6982468135185662,1.0861588637537705,0.3079353735754525,-0.7066210688476964,0.4862445951940629,1.3898404012085974,-0.1468592457865423,-1.3136494210474905,-1.210880886656743,-0.2206028388467066,1.214947184618295,0.4565017600722513,-0.1893333491711743,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
47,47,255,0,0.6573181799246242,1.0811533822635662,-0.0332390736911404,-0.7066210688476964,0.0267889106296424,1.3898404012085974,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.0779493347290487,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,0.3292866032956781,0.0,0.0,0.0,0.0,0.0,0.0
48,48,255,0,0.6602944243351325,1.0767158086911992,0.5527782245863633,-0.7066210688476964,0.4862445951940629,1.3898404012085974,-0.1468592457865423,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.0779493347290487,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,-0.1685270347421555,0.0,0.0,0.0,0.0,0.0,0.0
49,49,255,0,0.6795803807388058,1.0845315555665789,-0.6674220265512267,-0.7066210688476964,-0.4326667739347779,1.3898404012085974,-1.4555799416646498,-1.3136494210474905,-1.210880886656743,-0.2206028388467066,1.2320719158544542,0.4565017600722513,-0.38929137935226,-0.1028233879668304,0.076161024632373,0.0,0.0,0.0,0.0,0.0,0.0
50,50,255,0,0.6945419433665343,1.0797955946305362,0.9822564516683904,-0.7066210688476964,0.4862445951940629,0.1037740961307769,-0.1468592457865423,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.0779493347290487,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
51,51,255,0,0.6521504977246733,1.077293959670476,-0.0653495738774215,-0.7066210688476964,-0.2029389316525677,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.0779493347290487,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.0085069060422145,0.0,0.0,0.0,0.0,0.0,0.0
52,52,255,0,0.6636495541312345,1.0824144428050373,0.0831616808778066,-0.1900736720172506,-0.2029389316525677,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.0779493347290487,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,0.9227254599396496,0.0,0.0,0.0,0.0,0.0,0.0
53,53,255,0,0.6610792309562011,1.0802862139938638,0.3801840946914241,-0.7066210688476964,0.9457002797584834,1.3898404012085974,-0.1468592457865423,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.0779493347290487,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.0042881463978264,0.0,0.0,0.0,0.0,0.0,0.0
